Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
Relevant Features,0.1,0.05,1,1,1,1,Full,0.6745833333333331,0.0309488966102006,0.7552083333333334,0.59375,71.0,25.0,74.0,22.0,0.7395833333333334,0.7634408602150538,0.7513227513227514
Relevant Features,0.1,0.1,1,1,1,1,Diagonal,0.6872395833333332,0.0305776188888167,0.7552083333333334,0.609375,65.0,31.0,80.0,16.0,0.6770833333333334,0.8024691358024691,0.7344632768361582
Relevant Features,0.1,0.05,1,1,1,1,Diagonal,0.6854166666666667,0.0263007941103179,0.75,0.6197916666666666,65.0,31.0,79.0,17.0,0.6770833333333334,0.7926829268292683,0.7303370786516854
Relevant Features,0.5,0.1,1,1,1,1,Diagonal,0.6822395833333332,0.0304898431260996,0.7447916666666666,0.6041666666666666,57.0,39.0,86.0,10.0,0.59375,0.8507462686567164,0.6993865030674846
Relevant Features,0.5,0.5,1,1,1,1,Diagonal,0.6700520833333335,0.0253595563122497,0.7447916666666666,0.5989583333333334,62.0,34.0,81.0,15.0,0.6458333333333334,0.8051948051948052,0.7167630057803468
Relevant Features,1.0,1.0,1,1,1,1,Full,0.6496354166666667,0.0330707020255887,0.7395833333333334,0.5833333333333334,57.0,39.0,85.0,11.0,0.59375,0.8382352941176471,0.6951219512195121
Relevant Features,0.1,0.1,1,1,1,1,Full,0.6773958333333333,0.0262576460425233,0.7395833333333334,0.6197916666666666,67.0,29.0,75.0,21.0,0.6979166666666666,0.7613636363636364,0.7282608695652174
Relevant Features,1.0,0.5,1,1,1,1,Diagonal,0.6661979166666666,0.029765932577151,0.734375,0.5989583333333334,58.0,38.0,83.0,13.0,0.6041666666666666,0.8169014084507042,0.6946107784431137
Relevant Features,0.5,0.5,1,1,1,1,Full,0.6693750000000002,0.0282739113406688,0.734375,0.5989583333333334,60.0,36.0,81.0,15.0,0.625,0.8,0.7017543859649122
Relevant Features,1.0,1.0,1,1,1,1,Diagonal,0.6660416666666665,0.0310958001138774,0.734375,0.5833333333333334,59.0,37.0,82.0,14.0,0.6145833333333334,0.8082191780821918,0.6982248520710059
